timestamp,arbitration_id,extended,remote,error,dlc,data
1744844174.635069,0x26e,0,0,0,8,AAAAAAAAAAA=
1744844174.6353555,0x3b3,0,0,0,8,RIjADBAAADo=
1744844174.6355476,0x37e,0,0,0,8,AAgAAAAAAAA=
1744844174.6357093,0x42b,0,0,0,8,17SATlI65gA=
1744844174.6358523,0x3a4,0,0,0,8,g8BD//////8=
1744844174.6359954,0x42c,0,0,0,8,hAAAABoAAAA=
1744844174.6361215,0x40a,0,0,0,8,wAAAMv6aLAA=
1744844174.6368854,0x468,0,0,0,8,AAAAAAAgAAA=
1744844174.6370485,0x42e,0,0,0,8,ZGCAE7RqAAA=
1744844174.6371956,0x469,0,0,0,8,AAAAAAAAAAA=
1744844174.637332,0x490,0,0,0,8,tqtqtrtstrA=
1744844174.6374595,0x491,0,0,0,8,tstrtstrtrA=
1744844174.6375883,0x492,0,0,0,8,tttttttstsA=
1744844174.6383708,0x493,0,0,0,8,tstststttsA=
1744844174.6385293,0x494,0,0,0,8,tstttttsttA=
1744844174.6386662,0x495,0,0,0,8,tststttsttA=
1744844174.6387954,0x496,0,0,0,8,trtstststtA=
1744844174.6389096,0x497,0,0,0,8,tstrtstrtrA=
1744844174.639035,0x498,0,0,0,8,tptptptotpA=
1744844174.6391542,0x499,0,0,0,8,totptototpA=
1744844174.6398523,0x49a,0,0,0,8,tqtrtrtrtqA=
1744844174.6400228,0x49b,0,0,0,8,trtqtqtqtqA=
1744844174.640173,0x49c,0,0,0,8,trtstrtrtrA=
1744844174.6403072,0x4b0,0,0,0,8,AQD//iAmqCQ=
1744844174.640429,0x49d,0,0,0,8,tstrtststsA=
1744844174.6405509,0x7d,0,0,0,8,BNUkIgqf6AA=
1744844174.6413941,0x7a,0,0,0,8,AAACwbxwAAA=
1744844174.6415524,0x7b,0,0,0,8,gAZLBAAAAAA=
1744844174.64169,0x7f,0,0,0,8,AAD/8AAAAAA=
1744844174.641817,0x12e,0,0,0,8,zRfn//////8=
1744844174.641934,0x83,0,0,0,8,AOCAAAIIAAA=
1744844174.6420588,0x39b,0,0,0,8,/gAv/v/iwwA=
1744844174.6433632,0x167,0,0,0,8,soAAEf/gAAA=
1744844174.6435852,0x49e,0,0,0,8,trtttotvtnA=
1744844174.6437593,0x202,0,0,0,8,B+9oAGAAAAA=
1744844174.6439044,0x49f,0,0,0,8,tvtntvtotuA=
