timestamp,arbitration_id,extended,remote,error,dlc,data
1744844273.9807854,0x26e,0,0,0,8,AAAAAAAAAAA=
1744844273.9810405,0x3b3,0,0,0,8,RIjADBAAADo=
1744844273.9812276,0x37e,0,0,0,8,AAgAAAAAAAA=
1744844273.9813905,0x42b,0,0,0,8,17SATlI65gA=
1744844273.9815297,0x3a4,0,0,0,8,g8BD//////8=
1744844273.9816658,0x42c,0,0,0,8,hAAAABoAAAA=
1744844273.9818087,0x40a,0,0,0,8,wAAAMv6aLAA=
1744844273.9825468,0x468,0,0,0,8,AAAAAAAgAAA=
1744844273.9827359,0x42e,0,0,0,8,ZGCAE7RqAAA=
1744844273.9828954,0x469,0,0,0,8,AAAAAAAAAAA=
1744844273.9830282,0x490,0,0,0,8,tqtqtrtstrA=
1744844273.98316,0x491,0,0,0,8,tstrtstrtrA=
1744844273.9832973,0x492,0,0,0,8,tttttttstsA=
1744844273.9834392,0x493,0,0,0,8,tstststttsA=
1744844273.9841132,0x494,0,0,0,8,tstttttsttA=
1744844273.9842482,0x495,0,0,0,8,tststttsttA=
1744844273.9843793,0x496,0,0,0,8,trtstststtA=
1744844273.984496,0x497,0,0,0,8,tstrtstrtrA=
1744844273.9846187,0x498,0,0,0,8,tptptptotpA=
1744844273.985193,0x499,0,0,0,8,totptototpA=
1744844273.9854443,0x49a,0,0,0,8,tqtrtrtrtqA=
1744844273.9855852,0x49b,0,0,0,8,trtqtqtqtqA=
1744844273.9857118,0x49c,0,0,0,8,trtstrtrtrA=
1744844273.985833,0x4b0,0,0,0,8,AQD//iAmqCQ=
1744844273.9859543,0x49d,0,0,0,8,tstrtststsA=
1744844273.9866996,0x7d,0,0,0,8,BNUkIgqf6AA=
1744844273.9868853,0x7a,0,0,0,8,AAACwbxwAAA=
1744844273.9870317,0x7b,0,0,0,8,gAZLBAAAAAA=
1744844273.9871666,0x7f,0,0,0,8,AAD/8AAAAAA=
1744844273.9872892,0x12e,0,0,0,8,zRfn//////8=
1744844273.9874024,0x83,0,0,0,8,AOCAAAIIAAA=
1744844273.9881592,0x39b,0,0,0,8,/gAv/v/iwwA=
1744844273.9883516,0x167,0,0,0,8,soAAEf/gAAA=
1744844273.9885087,0x49e,0,0,0,8,trtttotvtnA=
1744844273.988641,0x202,0,0,0,8,B+9oAGAAAAA=
1744844273.988775,0x49f,0,0,0,8,tvtntvtotuA=
1744844273.9888923,0x204,0,0,0,8,+AB9AADuAAA=
1744844273.989653,0x4a0,0,0,0,8,trtstrtqtpA=
1744844273.9897807,0x205,0,0,0,8,AAQAAAAAAAA=
1744844273.9898996,0x4a1,0,0,0,8,tttotstptrA=
1744844273.9900463,0x7e,0,0,0,8,AABACwAMAAA=
1744844273.9901767,0x4a2,0,0,0,8,/+/+/+/+/+A=
1744844273.9903338,0x213,0,0,0,8,//8ADAAB/0A=
1744844273.9911635,0x4a3,0,0,0,8,/+BMTEtLS0w=
1744844273.9913166,0x216,0,0,0,8,udWhvqoAJUU=
1744844273.9914446,0x4a4,0,0,0,8,TExMTP7+/gA=
1744844273.9915667,0x217,0,0,0,8,AAAAAAAAAAA=
1744844273.9916835,0x4a5,0,0,0,8,WioKBAEAAgs=
1744844273.9918027,0x332,0,0,0,8,AAAAAAAAEAA=
1744844273.992615,0x4a7,0,0,0,8,/v7+/v7+AAA=
1744844273.9927816,0x333,0,0,0,8,AAAAAABAAAA=
1744844273.9929268,0x4f3,0,0,0,8,///v//7//+A=
1744844273.9930537,0x82,0,0,0,8,fQgUBJeAQP8=
1744844273.9931786,0x6f1,0,0,0,8,AyLuAMzMzMw=
1744844273.993301,0x3a8,0,0,0,8,ABAnEAcl/kg=
1744844273.9934819,0x3ab,0,0,0,8,AhAAAAAAAP8=
1744844273.9942756,0x3ae,0,0,0,8,AAAKAAAYAAA=
1744844273.9944365,0x47,0,0,0,8,IAAAAAAAAAA=
1744844273.9945748,0x3d8,0,0,0,8,AAAIDYAF8EQ=
1744844273.9948668,0x167,0,0,0,8,soAAEf/gAAA=
1744844273.9950004,0x176,0,0,0,8,EOHsIQAAAAA=
1744844273.9951243,0x230,0,0,0,8,AAIAAP4AAAM=
1744844273.9958677,0x25b,0,0,0,8,ofQJ9OAAgAA=
1744844273.996021,0x415,0,0,0,8,AADI+ggACAA=
1744844273.996147,0x7a,0,0,0,8,AAACwbxwAAA=
1744844273.9962747,0x7b,0,0,0,8,gAWLBAAAAAA=
1744844273.9963932,0x7d,0,0,0,8,BNUjMgsf+AE=
1744844273.9971664,0x6f9,0,0,0,8,A38iMQAAAAA=
